band_digits,family,sample_index,seed,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
21,prime_square,1,1729,64,"2","11",3,21,68,20.345425964802134303498327,2215266422464978,6642246497836609,6.718727351285576942670347e-11,10.172712982401067151749164,ok
21,prime_square,2,1729,64,"2","11",3,21,69,20.623067477509117380642132,4198242081473680,4208147368064401,4.880521847803419049199798e-11,10.311533738754558690321066,ok
21,prime_square,3,1729,64,"2","11",3,21,70,20.943981401206422190445566,8789848732296949,4873229694976809,3.372945309520988087984480e-11,10.471990700603211095222783,ok
21,prime_cube,0,1729,64,"3","7",4,21,69,20.627142028238585970356734,4237815335572534,1533557253401041,2.359706407228097830100359e-21,20.627142028238585970356734,ok
21,prime_cube,1,1729,64,"3","7",4,21,69,20.604861477576264656242294,4025886043170027,8604317002751467,2.483925250930820836191805e-21,20.604861477576264656242294,ok
21,prime_cube,2,1729,64,"3","7",4,21,68,20.280104967884109912238023,1905921318687692,2131868769213647,5.246806309341995911021300e-21,20.280104967884109912238023,ok
21,prime_cube,3,1729,64,"3","7",4,21,68,20.425075985900088212914068,2661190631628323,9063162832363203,3.757716520248390243133393e-21,20.425075985900088212914068,ok
21,squarefree_3,0,1729,64,"1,1,1","7,7,7",8,21,69,20.598359508526156694199393,3966062086177310,6208617731041823,1.602955531168581556717816e-62,61.795078525578470082598180,ok
21,squarefree_3,1,1729,64,"1,1,1","7,7,7",8,21,69,20.500802764555680405381455,3168128326379785,2832637978504039,3.144790409237017628525011e-62,61.502408293667041216144366,ok
21,squarefree_3,2,1729,64,"1,1,1","7,7,7",8,21,70,20.813383264880856994687006,6507036830327050,3683032705018427,3.629528453296991270200442e-63,62.440149794642570984061017,ok
21,squarefree_3,3,1729,64,"1,1,1","7,7,7",8,21,68,20.234148808043787266504960,1714544683920897,4468392089774587,1.984054400636054106109990e-61,60.702446424131361799514880,ok
21,squarefree_6,0,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,21,70,20.823612574948524753405994,6662121900442120,2190044212045463,2.937718489177799435176025e-646,645.531989823404267355585805,ok
21,squarefree_6,1,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,21,69,20.610683682574128283714779,4080220960887488,2096088748872501,1.171671429929699080262336e-639,638.931194159797976795158147,ok
21,squarefree_6,2,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,21,70,20.921120567288291692730694,8339126603520540,2660352054090751,2.787805137301964923514573e-649,648.554737585937042474651501,ok
21,squarefree_6,3,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,21,70,20.870982618358757573151989,7429894008537770,9400853777073973,9.989386824517941109563519e-648,647.000461169121484767711668,ok
21,smooth_4321,0,1729,64,"4,3,2,1","2,2,3,6",120,21,68,20.295685393213962016052821,1975538024318276,3802431827650861,3.585599679539692420491270e-1198,1197.445438199623758947116433,ok
21,smooth_4321,1,1729,64,"4,3,2,1","2,2,3,6",120,21,69,20.593023791261184541969712,3917633378653807,3337865380708583,1.027061182743966242115231e-1215,1214.988403684409887976213009,ok
21,smooth_4321,2,1729,64,"4,3,2,1","2,2,3,5",120,21,70,20.873044253435204587730924,7465248233986406,4823398640658397,3.093065004502294112446815e-1232,1231.509610952677070676124494,ok
21,smooth_4321,3,1729,64,"4,3,2,1","2,2,3,6",120,21,69,20.688199900003605627904580,4877529446693655,2944669365526183,2.490037569726728546105391e-1221,1220.603794100212732046370192,ok
22,probable_prime,0,1729,64,"1","22",2,22,73,21.721327814046996816760060,5264144644934734,4644934734523033,1,0.000000000000000000000000,ok
22,probable_prime,1,1729,64,"1","22",2,22,73,21.921826008152124644044826,8352683167793921,3167793921711743,1,0.000000000000000000000000,ok
22,probable_prime,2,1729,64,"1","22",2,22,71,21.311922257569642183789102,2050795036096900,5036096900347893,1,0.000000000000000000000000,ok
22,probable_prime,3,1729,64,"1","22",2,22,73,21.784447108915063221447099,6087614024943116,4024943116686157,1,0.000000000000000000000000,ok
22,semiprime_balanced,0,1729,64,"1,1","11,11",4,22,72,21.509950883473088407985446,3235570621799807,0621799807129717,3.090644949185944575374869e-22,21.509950883473088407985446,ok
22,semiprime_balanced,1,1729,64,"1,1","11,11",4,22,72,21.561976095161775491362740,3647338703543168,8703543168106643,2.741725080340251136576706e-22,21.561976095161775491362740,ok
22,semiprime_balanced,2,1729,64,"1,1","11,11",4,22,71,21.177318870592870165657924,1504246018278623,6018278623592047,6.647848741819140719951849e-22,21.177318870592870165657924,ok
22,semiprime_balanced,3,1729,64,"1,1","11,11",4,22,72,21.550695243535506635879990,3553818497643758,8497643758891863,2.813874711561709543841039e-22,21.550695243535506635879990,ok
22,prime_square,0,1729,64,"2","11",3,22,73,21.694684319222968272609624,4950901879084889,1879084889721361,1.421208644393607460985510e-11,10.847342159611484136304812,ok
22,prime_square,1,1729,64,"2","11",3,22,74,21.991069260867241406626984,9796462059883133,2059883133500849,1.010334933693202534249460e-11,10.995534630433620703313492,ok
22,prime_square,2,1729,64,"2","11",3,22,72,21.403264301799481608805595,2530837738481576,7738481576553121,1.987777860037083416445051e-11,10.701632150899740804402797,ok
22,prime_square,3,1729,64,"2","11",3,22,72,21.535273725601936864900571,3429838931203348,8931203348681081,1.707509533704333647727200e-11,10.767636862800968432450286,ok
22,prime_cube,0,1729,64,"3","8",4,22,71,21.140832046298867315829980,1383031418992683,1418992683135229,7.230493727527461575933932e-22,21.140832046298867315829980,ok
22,prime_cube,1,1729,64,"3","8",4,22,71,21.215811300970026405527780,1643657406175073,7406175073390473,6.083992906569761615051032e-22,21.215811300970026405527780,ok
22,prime_cube,2,1729,64,"3","8",4,22,71,21.134764914978427200439142,1363844683161663,4683161663235723,7.332213208338365232846020e-22,21.134764914978427200439142,ok
22,prime_cube,3,1729,64,"3","8",4,22,73,21.764135638191673920390101,5809458293080306,8293080306177139,1.721330887582252326331829e-22,21.764135638191673920390101,ok
22,squarefree_3,0,1729,64,"1,1,1","8,8,6",8,22,71,21.103505378099591698508981,1269127860633288,7860633288334649,4.891970908334165617095429e-64,63.310516134298775095526942,ok
