band_digits,family,supported,samples_requested,samples_built,d_value,unit_z_count,subunit_z_count,min_neg_log10_z,median_neg_log10_z,max_neg_log10_z,status
22,prime_square,true,4,4,3,0,4,10.701632150899740736349486,10.807489511206226140416220,10.995534630433621003930966,ok
22,prime_cube,true,4,4,4,0,4,21.134764914978426020297775,21.178321673634449950895942,21.764135638191675070629572,ok
22,squarefree_3,true,4,4,8,0,4,63.310516134298772783495224,64.041773681208468360637198,65.411481211216184306067589,ok
22,squarefree_6,true,4,4,64,0,4,666.593368465472508432867471,675.755213555720274598570541,678.442828612380367303558160,ok
22,smooth_4321,true,4,4,120,0,4,1243.713465160573150569689460,1270.967521091758499096613377,1294.882906279951839678687975,ok
23,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
23,semiprime_balanced,true,4,4,4,0,4,22.743731619573718916171856,22.918946991103929633482039,22.984566029251610075334611,ok
23,prime_square,true,4,4,3,0,4,11.187456293804272533520816,11.290511308851787219964535,11.334965071401583713850414,ok
23,prime_cube,true,4,4,4,0,4,22.339410787656966306258255,22.735872860432429831689660,22.956374483843898559598529,ok
23,squarefree_3,true,4,4,8,0,4,68.057316028224150272762927,68.372929858221013432739710,68.968962963072129923602915,ok
23,squarefree_6,true,4,4,64,0,4,689.391336704064656260015909,694.478153921670809722854756,712.515556062244399981864262,ok
23,smooth_4321,true,4,4,120,0,4,1315.786737163372663417248987,1329.537142513874641736038029,1356.832913792804674812941812,ok
24,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
24,semiprime_balanced,true,4,4,4,0,4,23.163573507166304921156552,23.346940486860852104200603,23.867678058444770528012668,ok
24,prime_square,true,4,4,3,0,4,11.716631725134025288070916,11.841260444995695522152346,11.922860807467030141992836,ok
24,prime_cube,true,4,4,4,0,4,23.238318724482248001095286,23.443214293276632531615178,23.588143998300786563504516,ok
24,squarefree_3,true,4,4,8,0,4,69.211064912936592463665875,70.111866924134830014736508,71.029680113958818310493371,ok
24,squarefree_6,true,4,4,64,0,4,718.455155581028520828112960,731.073437153972008673008531,740.262953038676073447277304,ok
24,smooth_4321,true,4,4,120,0,4,1361.323207918560456164414063,1393.092758999215448056929745,1406.949503901589423549012281,ok
25,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
25,semiprime_balanced,true,4,4,4,0,4,24.173067797039756499088980,24.344736280528522343047371,24.739234208973240214390898,ok
25,prime_square,true,4,4,3,0,4,12.394802692357577811321789,12.426945793349062796551152,12.458943360693719881737707,ok
25,prime_cube,true,4,4,4,0,4,24.170931374630502119771336,24.641588730161121389983236,24.811820645031009036074465,ok
25,squarefree_3,true,4,4,8,0,4,72.224582728300958933687070,73.088433630696499676560052,73.898308679516674146725563,ok
25,squarefree_6,true,4,4,64,0,4,747.803671953527214100176934,753.975883040307962801307440,762.536488280529852090694476,ok
25,smooth_4321,true,4,4,120,0,4,1416.527795768949545163195580,1424.675277501520213263574988,1459.229747866888374119298533,ok
26,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
26,semiprime_balanced,true,4,4,4,0,4,25.510998884193661240260553,25.519032224386712925934262,25.697826157509176425719488,ok
26,prime_square,true,4,4,3,0,4,12.869469498335424972879082,12.900412352644572422377678,12.961371774291764680242522,ok
26,prime_cube,true,4,4,4,0,4,25.295949851652700601789547,25.776685829872278077345982,25.869494209218487412726972,ok
26,squarefree_3,true,4,4,8,0,4,75.107604383802637926237367,76.776571095860674631694565,77.911287087552111074728600,ok
26,squarefree_6,true,4,4,64,0,4,783.749843926579842445789836,797.248728317910490659414791,803.432376583235964062623680,ok
26,smooth_4321,true,4,4,120,0,4,1484.661407928342441664426588,1495.724325112506221557850949,1503.139384706360942800529301,ok
27,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
27,semiprime_balanced,true,4,4,4,0,4,26.730402783319640036552300,26.818300375044074712604925,26.949152474150388059115357,ok
27,prime_square,true,4,4,3,0,4,13.402341374815007313259230,13.418924329416785923285715,13.439152301378163301137647,ok
27,prime_cube,true,4,4,4,0,4,26.266362149565818384644444,26.693560354272776180550864,26.836433471656313543007855,ok
27,squarefree_3,true,4,4,8,0,4,78.525219331222174901085964,79.118303982793406703422079,79.535215026448270236869575,ok
27,squarefree_6,true,4,4,64,0,4,811.884297162494249278097413,820.094583382665177850867622,827.156612535635304084280506,ok
27,smooth_4321,true,4,4,120,0,4,1534.204511214830290555255488,1547.048938002202703501097858,1577.844813409991502339835279,ok
28,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
28,semiprime_balanced,true,4,4,4,0,4,27.093229809777156447125890,27.172865894663463137703729,27.295932885175631099627935,ok
28,prime_square,true,4,4,3,0,4,13.622324610409389578080663,13.809911734731091570438366,13.918240816220382782830711,ok
28,prime_cube,true,4,4,4,0,4,27.279578541918684919664884,27.657137054263564834855060,27.938713985059639099972628,ok
28,squarefree_3,true,4,4,8,0,4,81.930545798010328439886507,82.625263255032308506997651,83.514279981054997392675432,ok
28,squarefree_6,true,4,4,64,0,4,842.984649938227562415704597,859.351101046256303561676759,867.608326116577359243819956,ok
28,smooth_4321,true,4,4,120,0,4,1604.582883702817753146518953,1632.670932109242812657612376,1642.384506732424142683157697,ok
29,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
29,semiprime_balanced,true,4,4,4,0,4,28.784306924246447323412212,28.858930984455085422268894,28.994742126321405351063731,ok
29,prime_square,true,4,4,3,0,4,14.099268927066015422155942,14.333952023309855405841517,14.464337182831132011529007,ok
29,prime_cube,true,4,4,4,0,4,28.271773085338338660221780,28.543022887423973088516505,28.744443600927098714237218,ok
29,squarefree_3,true,4,4,8,0,4,86.450249380553941591642797,86.611748880123656135765486,86.938701237063170879082463,ok
29,squarefree_6,true,4,4,64,0,4,875.007229118184454819129314,878.076367094844840721634682,881.663396420577214485092554,ok
29,smooth_4321,true,4,4,120,0,4,1654.426726496899618723546155,1685.255101067114310353645124,1699.543132043007062748074532,ok
30,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
30,semiprime_balanced,true,4,4,4,0,4,29.413742434255475188820128,29.694834140730158367205149,29.938869669039931409315614,ok
30,prime_square,true,4,4,3,0,4,14.660300837524095740604935,14.777111891368821972037040,14.981576000204094967216406,ok
30,prime_cube,true,4,4,4,0,4,29.133858574625989490414213,29.332138929837846319514938,29.373728624137491749479523,ok
30,squarefree_3,true,4,4,8,0,4,87.413520700141759789403295,88.054013005835486183059402,88.601621504954863439706969,ok
30,squarefree_6,true,4,4,64,0,4,909.155135274680674228875432,913.623670501663355025812052,916.969154866372605283686426,ok
30,smooth_4321,true,4,4,120,0,4,1711.232668938518600043607876,1719.777193462064587947679684,1725.101233148943265405250713,ok
31,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
31,semiprime_balanced,true,4,4,4,0,4,30.576989479268799954070346,30.842303231913454908408312,30.999571657445898154037423,ok
31,prime_square,true,4,4,3,0,4,15.015776646632135182812817,15.270211431586147909911233,15.454603402691603264429432,ok
31,prime_cube,true,4,4,4,0,4,30.367034901693159554270096,30.486661779047633302752729,30.822778569698556339062634,ok
31,squarefree_3,true,4,4,8,0,4,90.538754000449443992692977,92.118549246531486573985603,92.965331128716172770509729,ok
31,squarefree_6,true,4,4,64,0,4,943.120942464115046277584042,947.457008930225811127456836,954.995109886176123836776242,ok
31,smooth_4321,true,4,4,120,0,4,1774.624952979242152650840580,1807.461368975500136002665386,1828.969640677514917115331627,ok
32,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
32,semiprime_balanced,true,4,4,4,0,4,31.122615343583841962527003,31.412964634672626118572225,31.700633692337948588146901,ok
32,prime_square,true,4,4,3,0,4,15.686780602838888754035906,15.827184933343202644095982,15.980604604589297323968822,ok
32,prime_cube,true,4,4,4,0,4,31.292625709637896136428026,31.663459976604205081684995,31.963631651925020094040519,ok
32,squarefree_3,true,4,4,8,0,4,94.949107526858583128159808,95.357807393687011199290282,95.557260021456130516526173,ok
32,squarefree_6,true,4,4,64,0,4,973.161322852522175708145369,983.249811355379620181338396,989.133420004970957961631939,ok
32,smooth_4321,true,4,4,120,0,4,1829.629741899654845838085748,1832.241353216051493291161023,1838.906585543160872475709766,ok
