band_digits,family,sample_index,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
10,semiprime_balanced,3,64,"1,1","5,5",4,10,30,9.000134491900185057494176,1000309727,1000309727,9.996903689011113654801039e-10,9.000134491900185057494176,ok
10,prime_square,0,64,"2","5",3,10,30,9.000115997158243575579775,1000267129,1000267129,3.161855376735068137983369e-5,4.500057998579121787789888,ok
10,prime_square,1,64,"2","5",3,10,30,9.000115997158243575579775,1000267129,1000267129,3.161855376735068137983369e-5,4.500057998579121787789888,ok
10,prime_square,2,64,"2","5",3,10,30,9.000115997158243575579775,1000267129,1000267129,3.161855376735068137983369e-5,4.500057998579121787789888,ok
10,prime_square,3,64,"2","5",3,10,30,9.000115997158243575579775,1000267129,1000267129,3.161855376735068137983369e-5,4.500057998579121787789888,ok
10,prime_cube,0,64,"3","4",4,10,30,9.011673498710731565145844,1027243729,1027243729,9.734788071896810771380236e-10,9.011673498710731565145844,ok
10,prime_cube,1,64,"3","4",4,10,30,9.011673498710731565145844,1027243729,1027243729,9.734788071896810771380236e-10,9.011673498710731565145844,ok
10,prime_cube,2,64,"3","4",4,10,30,9.011673498710731565145844,1027243729,1027243729,9.734788071896810771380236e-10,9.011673498710731565145844,ok
10,prime_cube,3,64,"3","4",4,10,30,9.011673498710731565145844,1027243729,1027243729,9.734788071896810771380236e-10,9.011673498710731565145844,ok
10,squarefree_3,0,64,"1,1,1","4,4,3",8,10,30,9.002054129429326572915078,1004741011,1004741011,9.859107719943582808108829e-28,27.006162388287979718745234,ok
10,squarefree_3,1,64,"1,1,1","4,4,3",8,10,30,9.002054129429326572915078,1004741011,1004741011,9.859107719943582808108829e-28,27.006162388287979718745234,ok
10,squarefree_3,2,64,"1,1,1","4,4,3",8,10,30,9.002054129429326572915078,1004741011,1004741011,9.859107719943582808108829e-28,27.006162388287979718745234,ok
10,squarefree_3,3,64,"1,1,1","4,4,3",8,10,30,9.002054129429326572915078,1004741011,1004741011,9.859107719943582808108829e-28,27.006162388287979718745234,ok
10,squarefree_6,0,64,"1,1,1,1,1,1","2,2,2,2,2,3",64,10,30,9.002616374817030997651099,1006042609,1006042609,8.296451537634656984298567e-280,279.081107619327960927184081,ok
10,squarefree_6,1,64,"1,1,1,1,1,1","2,2,2,2,2,3",64,10,30,9.002616374817030997651099,1006042609,1006042609,8.296451537634656984298567e-280,279.081107619327960927184081,ok
10,squarefree_6,2,64,"1,1,1,1,1,1","2,2,2,2,2,3",64,10,30,9.002616374817030997651099,1006042609,1006042609,8.296451537634656984298567e-280,279.081107619327960927184081,ok
10,squarefree_6,3,64,"1,1,1,1,1,1","2,2,2,2,2,3",64,10,30,9.002616374817030997651099,1006042609,1006042609,8.296451537634656984298567e-280,279.081107619327960927184081,ok
10,smooth_4321,0,64,"4,3,2,1","1,1,2,5",120,10,30,9.000188359567615130532104,1000433808,1000433808,9.747355046991151037414774e-532,531.011113214489292701394152,ok
10,smooth_4321,1,64,"4,3,2,1","1,1,2,5",120,10,30,9.000188359567615130532104,1000433808,1000433808,9.747355046991151037414774e-532,531.011113214489292701394152,ok
10,smooth_4321,2,64,"4,3,2,1","1,1,2,5",120,10,30,9.000188359567615130532104,1000433808,1000433808,9.747355046991151037414774e-532,531.011113214489292701394152,ok
10,smooth_4321,3,64,"4,3,2,1","1,1,2,5",120,10,30,9.000188359567615130532104,1000433808,1000433808,9.747355046991151037414774e-532,531.011113214489292701394152,ok
11,probable_prime,0,64,"1","11",2,11,34,10.000000000825159514832277,10000000019,10000000019,1,0.000000000000000000000000,ok
